,League,FirstName,LastName,Pos.,Type,From,To,G,GS,MIN,FGM,FGA,3FGM,3FGA,FTM,FTA,OFF,DEF,REB,AST,STL,BLK,TO,PF,PTS,Unnamed: 28,G.1,GS.1,MIN.1,FGM.1,FGA.1,3FGM.1,3FGA.1,FTM.1,FTA.1,OFF.1,DEF.1,REB.1,AST.1,STL.1,BLK.1,TO.1,PF.1,PTS.1
1168,NBA,William,Cunningham,C,Regular Season,(1997-98),(1998-99),23.0,8,201,7.0,27.0,0,0,0.0,2,17,21,38,2,3,11,5,40,14.0,,---,---,8.73913043478261,0.30434782608695654,1.173913043478261,0,0,0.0,0.08695652173913043,0.7391304347826086,0.9130434782608695,1.6521739130434783,0.08695652173913043,0.13043478260869565,0.4782608695652174,0.21739130434782608,1.7391304347826086,0.6086956521739131
1169,NBA,Radisav,Curcic,C,Regular Season,(1992-93),(1992-93),20.0,0,166,16.0,41.0,0,0,26.0,36,17,32,49,12,7,2,8,30,58.0,,---,---,8.3,0.8,2.05,0,0,1.3,1.8,0.85,1.6,2.45,0.6,0.35,0.1,0.4,1.5,2.9
1170,NBA,Armand,Cure,F,Regular Season,(1946-47),(1946-47),12.0,---,---,4.0,15.0,---,---,2.0,3,---,---,---,0,---,---,---,5,10.0,,---,---,---,0.3333333333333333,1.25,---,---,0.16666666666666666,0.25,---,---,---,0,---,---,---,0.4166666666666667,0.8333333333333334
1171,NBA,Earl,Cureton,F-C,Regular Season,(1980-81),(1996-97),674.0,131,12420,1545.0,3263.0,0,16,530.0,985,1189,1983,3172,678,341,361,728,1535,3620.0,,---,---,18.427299703264094,2.292284866468843,4.841246290801187,0,0.02373887240356083,0.7863501483679525,1.4614243323442135,1.7640949554896141,2.9421364985163203,4.706231454005935,1.0059347181008902,0.5059347181008902,0.5356083086053413,1.0801186943620178,2.277448071216617,5.370919881305638
1172,NBA,Bill,Curley,F,Regular Season,(1994-95),(2000-01),147.0,11,1614,157.0,354.0,2,9,78.0,105,124,166,290,60,61,44,75,345,394.0,,---,---,10.979591836734693,1.0680272108843538,2.4081632653061225,0.013605442176870748,0.061224489795918366,0.5306122448979592,0.7142857142857143,0.8435374149659864,1.129251700680272,1.9727891156462585,0.40816326530612246,0.41496598639455784,0.29931972789115646,0.5102040816326531,2.3469387755102042,2.6802721088435373
1173,NBL,Fran,Curran,G,Regular Season,(1947-48),(1947-48),58.0,---,---,129.0,,---,---,119.0,,---,---,---,---,---,---,---,,377.0,,---,---,---,2.2241379310344827,0.0,---,---,2.0517241379310347,,---,---,---,---,---,---,---,0,6.5
1174,NBA,Fran,Curran,G,Regular Season,(1948-49),(1949-50),123.0,---,---,159.0,403.0,---,---,284.0,367,---,---,---,149,---,---,---,231,602.0,,---,---,---,1.2926829268292683,3.2764227642276422,---,---,2.3089430894308944,2.983739837398374,---,---,---,1.2113821138211383,---,---,---,1.8780487804878048,4.894308943089431
1175,NBL,Jim,Currie,G-F,Regular Season,(1939-40),(1939-40),27.0,---,---,38.0,,---,---,29.0,,---,---,---,---,---,---,---,,105.0,,---,---,---,1.4074074074074074,0.0,---,---,1.0740740740740742,,---,---,---,---,---,---,---,0,3.888888888888889
1176,NBA,Dell,Curry,G,Regular Season,(1986-87),(2001-02),1083.0,99,23549,5090.0,11146.0,1245,3098,1245.0,1476,599,2018,2617,1909,985,238,1299,1795,12670.0,,---,---,21.744228993536474,4.6999076638965835,10.291782086795937,1.149584487534626,2.860572483841182,1.149584487534626,1.3628808864265929,0.5530932594644506,1.863342566943675,2.4164358264081254,1.76269621421976,0.9095106186518929,0.21975992613111728,1.1994459833795015,1.657433056325023,11.698984302862419
1177,NBA,Eddy,Curry,C,Regular Season,(2001-02),(2012-13),527.0,411,13109,2578.0,4734.0,2,2,1662.0,2588,947,1778,2725,287,155,384,1174,1562,6820.0,,---,---,24.874762808349146,4.891840607210626,8.98292220113852,0.003795066413662239,0.003795066413662239,3.153700189753321,4.910815939278938,1.7969639468690701,3.3738140417457307,5.170777988614801,0.5445920303605313,0.29411764705882354,0.7286527514231499,2.227703984819734,2.9639468690702087,12.941176470588236
1178,NBA,JamesOn,Curry,G,Regular Season,(2009-10),(2009-10),1.0,0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,,---,---,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0
1179,NBA,Michael,Curry,F-G,Regular Season,(1993-94),(2004-05),667.0,269,13208,1094.0,2448.0,79,265,719.0,872,198,847,1045,804,333,66,459,1523,2986.0,,---,---,19.802098950524737,1.6401799100449774,3.6701649175412294,0.1184407796101949,0.39730134932533734,1.077961019490255,1.3073463268365817,0.29685157421289354,1.2698650674662668,1.5667166416791605,1.2053973013493253,0.4992503748125937,0.09895052473763119,0.6881559220389805,2.28335832083958,4.4767616191904045
1180,NBA,Seth,Curry,G,Regular Season,(2013-14),(2022-23),438.0,206,10701,1763.0,3712.0,824,1893,456.0,529,132,809,941,930,310,60,476,719,4806.0,,---,---,24.431506849315067,4.025114155251141,8.474885844748858,1.8812785388127853,4.321917808219178,1.0410958904109588,1.2077625570776256,0.3013698630136986,1.8470319634703196,2.1484018264840183,2.1232876712328768,0.7077625570776256,0.136986301369863,1.08675799086758,1.6415525114155252,10.972602739726028
1181,NBA,Stephen,Curry,G,Regular Season,(2009-10),(2022-23),882.0,876,30302,7434.0,15653.0,3390,7929,3454.0,3801,592,3587,4179,5739,1420,207,2776,2098,21712.0,,---,---,34.35600907029478,8.428571428571429,17.74716553287982,3.8435374149659864,8.989795918367347,3.9160997732426304,4.309523809523809,0.671201814058957,4.066893424036281,4.738095238095238,6.506802721088436,1.6099773242630386,0.23469387755102042,3.147392290249433,2.378684807256236,24.616780045351472
1182,ABL,Charles,Curtis,F,Regular Season,(1961-62),(1962-63),80.0,,2412,402.0,973.0,1,4,214.0,273,---,---,570,76,---,---,---,279,1019.0,,---,---,30.15,5.025,12.1625,0.0125,0.05,2.675,3.4125,---,---,7.125,0.95,---,---,---,3.4875,12.7375
1183,NBA,Rastko,Cvetkovic,C,Regular Season,(1995-96),(1995-96),14.0,0,48,5.0,16.0,0,1,0.0,4,4,7,11,3,2,1,3,11,10.0,,---,---,3.4285714285714284,0.35714285714285715,1.1428571428571428,0,0.07142857142857142,0.0,0.2857142857142857,0.2857142857142857,0.5,0.7857142857142857,0.21428571428571427,0.14285714285714285,0.07142857142857142,0.21428571428571427,0.7857142857142857,0.7142857142857143
1184,NBL,Walt,Czarnecki,F,Regular Season,(1946-47),(1946-47),4.0,---,---,2.0,,---,---,1.0,,---,---,---,---,---,---,---,,5.0,,---,---,---,0.5,0.0,---,---,0.25,,---,---,---,---,---,---,---,0,1.25
1185,ABA,Mike,Dabich,C,Regular Season,(1967-68),(1967-68),10.0,---,49,8.0,12.0,0,0,4.0,9,,,13,2,---,---,5,12,20.0,,---,---,4.9,0.8,1.2,0,0,0.4,0.9,0,0,1.3,0.2,---,---,0.5,1.2,2.0
1186,NBL,Harold,Dahl,F,Regular Season,(1943-44),(1943-44),5.0,---,---,1.0,,---,---,2.0,,---,---,---,---,---,---,---,,4.0,,---,---,---,0.2,0.0,---,---,0.4,,---,---,---,---,---,---,---,0,0.8
1187,NBA,Ed,Dahler,F,Regular Season,(1951-52),(1951-52),14.0,---,112,14.0,38.0,---,---,7.0,7,---,---,22,5,---,---,---,16,35.0,,---,---,8,1.0,2.7142857142857144,---,---,0.5,0.5,---,---,1.5714285714285714,0.35714285714285715,---,---,---,1.1428571428571428,2.5
1188,NBA,Quintin,Dailey,G,Regular Season,(1982-83),(1991-92),528.0,140,12170,2936.0,6460.0,21,133,1577.0,2025,421,886,1307,1188,500,51,1025,1231,7470.0,,---,---,23.049242424242426,5.5606060606060606,12.234848484848484,0.03977272727272727,0.2518939393939394,2.9867424242424243,3.835227272727273,0.7973484848484849,1.678030303030303,2.475378787878788,2.25,0.946969696969697,0.09659090909090909,1.941287878787879,2.331439393939394,14.147727272727273
1189,NBA,Samuel,Dalembert,C,Regular Season,(2001-02),(2014-15),886.0,694,21646,2810.0,5393.0,1,12,1193.0,1689,2289,4653,6942,465,437,1546,1271,2601,6814.0,,---,---,24.431151241534987,3.1715575620767495,6.086907449209932,0.001128668171557562,0.013544018058690745,1.3465011286681716,1.9063205417607223,2.5835214446952595,5.251693002257336,7.8352144469525955,0.5248306997742663,0.4932279909706546,1.744920993227991,1.4345372460496615,2.935665914221219,7.690744920993228
1190,NBA,Howie,Dallmar,F,Regular Season,(1946-47),(1948-49),146.0,---,---,519.0,1833.0,---,---,370.0,530,---,---,---,340,---,---,---,386,1408.0,,---,---,---,3.5547945205479454,12.554794520547945,---,---,2.5342465753424657,3.6301369863013697,---,---,---,2.328767123287671,---,---,---,2.643835616438356,9.643835616438356
1191,NBA,Erick,Dampier,C,Regular Season,(1996-97),(2011-12),987.0,771,24003,2784.0,5595.0,2,16,1739.0,2779,2723,4282,7005,817,330,1398,1435,2869,7309.0,,---,---,24.319148936170212,2.8206686930091185,5.668693009118541,0.002026342451874367,0.016210739614994935,1.7619047619047619,2.8156028368794326,2.7588652482269502,4.338399189463019,7.09726443768997,0.8277608915906788,0.3343465045592705,1.4164133738601823,1.4539007092198581,2.906788247213779,7.405268490374874
1192,ABA,Louie,Dampier,G,Regular Season,(1967-68),(1975-76),728.0,---,27770,5290.0,12047.0,794,2217,2352.0,2849,453,1496,2282,4044,236,117,1855,1633,13726.0,,---,---,38.145604395604394,7.266483516483516,16.548076923076923,1.0906593406593406,3.04532967032967,3.230769230769231,3.9134615384615383,0.6222527472527473,2.0549450549450547,3.1346153846153846,5.554945054945055,0.3241758241758242,0.16071428571428573,2.548076923076923,2.243131868131868,18.854395604395606
1193,NBA,Louie,Dampier,G,Regular Season,(1976-77),(1978-79),232.0,,4431,692.0,1418.0,---,---,169.0,226,61,200,261,643,171,36,134,219,1553.0,,---,---,19.099137931034484,2.9827586206896552,6.112068965517241,---,---,0.728448275862069,0.9741379310344828,0.2629310344827586,0.8620689655172413,1.125,2.771551724137931,0.7370689655172413,0.15517241379310345,0.5775862068965517,0.9439655172413793,6.693965517241379
1194,NBL,Edward,Dancker,C-F,Regular Season,(1938-39),(1948-49),321.0,---,---,955.0,,---,---,580.0,,---,---,---,---,---,---,---,,2490.0,,---,---,---,2.9750778816199377,0.0,---,---,1.8068535825545171,,---,---,---,---,---,---,---,0,7.757009345794392
1195,NBA,Bob,Dandridge,F-G,Regular Season,(1969-70),(1981-82),839.0,0,29502,6445.0,13317.0,2,12,2638.0,3382,908,2337,5715,2846,661,303,630,2940,15530.0,,---,---,35.163289630512516,7.68176400476758,15.872467222884387,0.0023837902264600714,0.014302741358760428,3.1442193087008343,4.030989272943981,1.0822407628128725,2.7854588796185937,6.811680572109655,3.3921334922526816,0.7878426698450537,0.36114421930870083,0.7508939213349225,3.504171632896305,18.510131108462456
1196,NBA,Antonio,Daniels,G,Regular Season,(1997-98),(2010-11),872.0,220,19671,2270.0,5109.0,359,1154,1724.0,2173,219,1394,1613,2934,564,85,928,917,6623.0,,---,---,22.55848623853211,2.603211009174312,5.85894495412844,0.411697247706422,1.323394495412844,1.9770642201834863,2.49197247706422,0.2511467889908257,1.598623853211009,1.849770642201835,3.364678899082569,0.6467889908256881,0.09747706422018348,1.0642201834862386,1.051605504587156,7.595183486238532
1197,NBA,Dyson,Daniels,G,Regular Season,(2022-23),(2022-23),59.0,11,1042,87.0,208.0,27,86,26.0,40,36,152,188,134,43,11,57,99,227.0,,,,,,,,,,,,,,,,,,,
1198,NBA,Erik,Daniels,F,Regular Season,(2004-05),(2004-05),21.0,0,72,6.0,18.0,1,2,0.0,0,7,11,18,4,2,0,6,7,13.0,,---,---,3.4285714285714284,0.2857142857142857,0.8571428571428571,0.047619047619047616,0.09523809523809523,0.0,0,0.3333333333333333,0.5238095238095238,0.8571428571428571,0.19047619047619047,0.09523809523809523,0,0.2857142857142857,0.3333333333333333,0.6190476190476191
1199,ABL,James,Daniels,G,Regular Season,(1961-62),(1961-62),17.0,,338,16.0,63.0,2,5,27.0,42,---,---,23,11,---,---,---,31,61.0,,---,---,19.88235294117647,0.9411764705882353,3.7058823529411766,0.11764705882352941,0.29411764705882354,1.588235294117647,2.4705882352941178,---,---,1.3529411764705883,0.6470588235294118,---,---,---,1.8235294117647058,3.588235294117647
1200,NBA,Lloyd,Daniels,G,Regular Season,(1992-93),(1997-98),200.0,29,3549,553.0,1373.0,152,481,153.0,206,183,257,440,312,102,61,211,298,1411.0,,---,---,17.745,2.765,6.865,0.76,2.405,0.765,1.03,0.915,1.285,2.2,1.56,0.51,0.305,1.055,1.49,7.055
1201,NBA,Marquis,Daniels,G-F,Regular Season,(2003-04),(2012-13),548.0,146,11707,1772.0,3933.0,103,439,672.0,932,521,1031,1552,966,509,137,644,882,4319.0,,---,---,21.363138686131386,3.2335766423357666,7.177007299270073,0.18795620437956204,0.801094890510949,1.2262773722627738,1.7007299270072993,0.9507299270072993,1.8813868613138687,2.832116788321168,1.7627737226277371,0.9288321167883211,0.25,1.1751824817518248,1.6094890510948905,7.881386861313868
1202,ABA,Mel,Daniels,C,Regular Season,(1967-68),(1974-75),628.0,---,22340,4659.0,9950.0,3,34,2418.0,3676,2870,6624,9494,1134,96,351,1911,2280,11739.0,,---,---,35.57324840764331,7.4187898089171975,15.843949044585987,0.004777070063694267,0.054140127388535034,3.8503184713375798,5.853503184713376,4.570063694267516,10.547770700636942,15.117834394904458,1.805732484076433,0.15286624203821655,0.5589171974522293,3.0429936305732483,3.6305732484076434,18.69267515923567
1203,NBA,Mel,Daniels,C,Regular Season,(1976-77),(1976-77),11.0,,126,13.0,35.0,---,---,13.0,23,10,24,34,6,3,11,---,29,39.0,,---,---,11.454545454545455,1.1818181818181819,3.1818181818181817,---,---,1.1818181818181819,2.090909090909091,0.9090909090909091,2.1818181818181817,3.090909090909091,0.5454545454545454,0.2727272727272727,1,---,2.6363636363636362,3.5454545454545454
1204,NBA,Troy,Daniels,G,Regular Season,(2013-14),(2019-20),339.0,20,5045,767.0,1914.0,555,1404,143.0,179,73,373,446,185,101,20,187,429,2232.0,,---,---,14.882005899705014,2.262536873156342,5.646017699115045,1.6371681415929205,4.1415929203539825,0.4218289085545723,0.528023598820059,0.2153392330383481,1.1002949852507375,1.3156342182890854,0.5457227138643068,0.29793510324483774,0.058997050147492625,0.551622418879056,1.2654867256637168,6.584070796460177
1205,NBA,Sasha,Danilovic,G,Regular Season,(1995-96),(1996-97),75.0,60,2331,331.0,754.0,119,314,176.0,223,41,141,182,149,69,12,153,209,957.0,,---,---,31.08,4.413333333333333,10.053333333333333,1.5866666666666667,4.1866666666666665,2.3466666666666667,2.973333333333333,0.5466666666666666,1.88,2.4266666666666667,1.9866666666666666,0.92,0.16,2.04,2.7866666666666666,12.76
1206,NBA,Adrian,Dantley,F-G,Regular Season,(1976-77),(1990-91),955.0,546,34151,8169.0,15121.0,7,41,6832.0,8351,2207,3248,5455,2830,944,150,2503,2550,23177.0,,---,---,35.76020942408377,8.553926701570681,15.833507853403141,0.007329842931937173,0.04293193717277487,7.153926701570681,8.744502617801047,2.310994764397906,3.4010471204188484,5.712041884816754,2.9633507853403143,0.9884816753926702,0.15706806282722513,2.6209424083769632,2.670157068062827,24.26910994764398
1207,NBA,Mike,D'Antoni,G,Regular Season,(1973-74),(1976-77),130.0,,1858,184.0,469.0,---,---,64.0,87,41,145,186,248,152,27,---,239,432.0,,---,---,14.292307692307693,1.4153846153846155,3.6076923076923078,---,---,0.49230769230769234,0.6692307692307692,0.3153846153846154,1.1153846153846154,1.4307692307692308,1.9076923076923078,1.1692307692307693,0.2076923076923077,---,1.8384615384615384,3.3230769230769233
1208,ABA,Mike,D'Antoni,G,Regular Season,(1975-76),(1975-76),50.0,---,798,77.0,162.0,0,4,19.0,26,16,60,76,115,63,14,47,134,173.0,,---,---,15.96,1.54,3.24,0,0.08,0.38,0.52,0.32,1.2,1.52,2.3,1.26,0.28,0.94,2.68,3.46
1209,NBA,Pete,Darcey,C,Regular Season,(1952-53),(1952-53),12.0,---,90,3.0,18.0,---,---,5.0,9,---,---,10,2,---,---,---,29,11.0,,---,---,7.5,0.25,1.5,---,---,0.4166666666666667,0.75,---,---,0.8333333333333334,0.16666666666666666,---,---,---,2.4166666666666665,0.9166666666666666
1210,NBL,Jimmy,Darden,G,Regular Season,(1948-49),(1948-49),57.0,---,---,197.0,,---,---,193.0,,---,---,---,---,---,---,---,,587.0,,---,---,---,3.456140350877193,0.0,---,---,3.3859649122807016,,---,---,---,---,---,---,---,0,10.298245614035087
1211,NBA,Jimmy,Darden,G,Regular Season,(1949-50),(1949-50),26.0,---,---,78.0,243.0,---,---,55.0,80,---,---,---,67,---,---,---,67,211.0,,---,---,---,3.0,9.346153846153847,---,---,2.1153846153846154,3.076923076923077,---,---,---,2.576923076923077,---,---,---,2.576923076923077,8.115384615384615
1212,ABA,Ollie,Darden,F-C,Regular Season,(1967-68),(1969-70),223.0,---,4811,815.0,1872.0,2,11,415.0,597,316,538,1381,219,---,---,360,693,2047.0,,---,---,21.573991031390136,3.6547085201793723,8.394618834080717,0.008968609865470852,0.04932735426008968,1.8609865470852018,2.6771300448430493,1.4170403587443947,2.412556053811659,6.192825112107624,0.9820627802690582,---,---,1.6143497757847534,3.10762331838565,9.179372197309418
1213,NBA,Yinka,Dare,C,Regular Season,(1994-95),(1997-98),110.0,25,1002,86.0,217.0,0,0,61.0,107,101,180,281,4,12,70,96,179,233.0,,---,---,9.10909090909091,0.7818181818181819,1.9727272727272727,0,0,0.5545454545454546,0.9727272727272728,0.9181818181818182,1.6363636363636365,2.5545454545454547,0.03636363636363636,0.10909090909090909,0.6363636363636364,0.8727272727272727,1.6272727272727272,2.118181818181818
1214,NBA,Jesse,Dark,G,Regular Season,(1974-75),(1974-75),47.0,,401,74.0,157.0,---,---,22.0,40,15,22,37,30,3,1,---,48,170.0,,---,---,8.53191489361702,1.574468085106383,3.3404255319148937,---,---,0.46808510638297873,0.851063829787234,0.3191489361702128,0.46808510638297873,0.7872340425531915,0.6382978723404256,0.06382978723404255,0.02127659574468085,---,1.0212765957446808,3.617021276595745
1215,NBA,Nate,Darling,G,Regular Season,(2020-21),(2020-21),7.0,0,26,2.0,7.0,2,7,3.0,3,1,0,1,1,0,1,1,1,9.0,,---,---,3.7142857142857144,0.2857142857142857,1.0,0.2857142857142857,1,0.42857142857142855,0.42857142857142855,0.14285714285714285,0,0.14285714285714285,0.14285714285714285,0,0.14285714285714285,0.14285714285714285,0.14285714285714285,1.2857142857142858
1216,ABA,Rick,Darnell,C-F,Regular Season,(1975-76),(1975-76),11.0,---,120,11.0,30.0,0,0,4.0,7,12,24,36,9,5,3,14,30,26.0,,---,---,10.909090909090908,1.0,2.727272727272727,0,0,0.36363636363636365,0.6363636363636364,1.0909090909090908,2.1818181818181817,3.272727272727273,0.8181818181818182,0.45454545454545453,0.2727272727272727,1.2727272727272727,2.727272727272727,2.3636363636363638
1217,ABL,Jimmy,Darrow,G,Regular Season,(1961-62),(1961-62),55.0,,1219,195.0,453.0,1,5,91.0,121,---,---,66,114,---,---,---,160,482.0,,---,---,22.163636363636364,3.5454545454545454,8.236363636363636,0.01818181818181818,0.09090909090909091,1.6545454545454545,2.2,---,---,1.2,2.0727272727272728,---,---,---,2.909090909090909,8.763636363636364
1218,NBA,Jimmy,Darrow,G,Regular Season,(1961-62),(1961-62),5.0,---,34,3.0,15.0,---,---,6.0,7,---,---,7,6,---,---,---,9,12.0,,---,---,6.8,0.6,3.0,---,---,1.2,1.4,---,---,1.4,1.2,---,---,---,1.8,2.4
1219,NBA,Luigi,Datome,F,Regular Season,(2013-14),(2014-15),55.0,1,447,77.0,186.0,25,79,9.0,11,17,58,75,20,8,8,20,35,188.0,,---,---,8.127272727272727,1.4,3.381818181818182,0.45454545454545453,1.4363636363636363,0.16363636363636364,0.2,0.3090909090909091,1.0545454545454545,1.3636363636363635,0.36363636363636365,0.14545454545454545,0.14545454545454545,0.36363636363636365,0.6363636363636364,3.418181818181818
1220,NBA,Brad,Daugherty,C,Regular Season,(1986-87),(1993-94),548.0,546,20029,3823.0,7189.0,2,14,2741.0,3670,1207,4020,5227,2028,422,397,1511,1466,10389.0,,---,---,36.5492700729927,6.976277372262774,13.11861313868613,0.0036496350364963502,0.025547445255474453,5.001824817518248,6.697080291970803,2.2025547445255476,7.335766423357664,9.538321167883211,3.7007299270072993,0.7700729927007299,0.7244525547445255,2.7572992700729926,2.6751824817518246,18.958029197080293
1221,ABA,Mack,Daughtry,G,Regular Season,(1970-71),(1970-71),4.0,---,43,4.0,10.0,0,0,5.0,5,2,3,5,3,---,---,0,4,13.0,,---,---,10.75,1.0,2.5,0,0,1.25,1.25,0.5,0.75,1.25,0.75,---,---,0,1,3.25
1222,NBA,Kornel,David,F,Regular Season,(1998-99),(2000-01),109.0,11,1585,201.0,451.0,0,4,147.0,180,111,195,306,64,46,24,92,172,549.0,,---,---,14.541284403669724,1.8440366972477065,4.137614678899083,0,0.03669724770642202,1.348623853211009,1.651376146788991,1.018348623853211,1.7889908256880733,2.8073394495412844,0.5871559633027523,0.42201834862385323,0.22018348623853212,0.8440366972477065,1.5779816513761469,5.036697247706422
1223,NBA,Jermareo,Davidson,F,Regular Season,(2007-08),(2008-09),52.0,2,433,68.0,160.0,0,0,26.0,45,31,65,96,14,9,18,22,58,162.0,,---,---,8.326923076923077,1.3076923076923077,3.076923076923077,0,0,0.5,0.8653846153846154,0.5961538461538461,1.25,1.8461538461538463,0.2692307692307692,0.17307692307692307,0.34615384615384615,0.4230769230769231,1.1153846153846154,3.1153846153846154
1224,NBL,Bob,Davies,G-F,Regular Season,(1945-46),(1947-48),107.0,---,---,428.0,,---,---,320.0,,---,---,---,---,---,---,---,,1176.0,,---,---,---,4.0,0.0,---,---,2.9906542056074765,,---,---,---,---,---,---,---,0,10.990654205607477
1225,NBA,Bob,Davies,G-F,Regular Season,(1948-49),(1954-55),462.0,---,8617,2292.0,6067.0,---,---,2010.0,2647,---,---,980,2250,---,---,---,1566,6594.0,,---,---,18.651515151515152,4.961038961038961,13.132034632034632,---,---,4.35064935064935,5.729437229437229,---,---,2.121212121212121,4.87012987012987,---,---,---,3.3896103896103895,14.272727272727273
1226,NBA,Brandon,Davies,F,Regular Season,(2013-14),(2014-15),78.0,6,998,109.0,265.0,10,44,58.0,90,76,116,192,58,42,15,64,151,286.0,,---,---,12.794871794871796,1.3974358974358974,3.3974358974358974,0.1282051282051282,0.5641025641025641,0.7435897435897436,1.1538461538461537,0.9743589743589743,1.4871794871794872,2.4615384615384617,0.7435897435897436,0.5384615384615384,0.19230769230769232,0.8205128205128205,1.935897435897436,3.6666666666666665
1227,NBA,Anthony,Davis,F-C,Regular Season,(2012-13),(2022-23),660.0,653,22709,5917.0,11397.0,311,1038,3696.0,4661,1715,5152,6867,1562,883,1527,1301,1565,15841.0,,---,---,34.407575757575756,8.965151515151515,17.26818181818182,0.4712121212121212,1.5727272727272728,5.6,7.0621212121212125,2.5984848484848486,7.806060606060606,10.404545454545454,2.3666666666666667,1.337878787878788,2.3136363636363635,1.9712121212121212,2.371212121212121,24.00151515151515
1228,NBA,Antonio,Davis,F-C,Regular Season,(1993-94),(2005-06),903.0,524,26084,3187.0,7120.0,2,23,2665.0,3668,2323,4432,6755,1017,430,889,1346,2551,9041.0,,---,---,28.8859357696567,3.529346622369878,7.8848283499446294,0.0022148394241417496,0.02547065337763012,2.9512735326688815,4.062015503875969,2.5725359911406422,4.908084163898117,7.48062015503876,1.1262458471760797,0.47619047619047616,0.9844961240310077,1.4905869324473975,2.8250276854928016,10.01218161683278
1229,NBA,Aubrey,Davis,G-F,Regular Season,(1946-47),(1946-47),59.0,---,---,107.0,381.0,---,---,73.0,115,---,---,---,14,---,---,---,136,287.0,,---,---,---,1.8135593220338984,6.4576271186440675,---,---,1.2372881355932204,1.9491525423728813,---,---,---,0.23728813559322035,---,---,---,2.305084745762712,4.864406779661017
1230,NBL,Aubrey,Davis,G-F,Regular Season,(1948-49),(1948-49),8.0,---,---,3.0,,---,---,3.0,,---,---,---,---,---,---,---,,9.0,,---,---,---,0.375,0.0,---,---,0.375,,---,---,---,---,---,---,---,0,1.125
1231,NBA,Baron,Davis,G,Regular Season,(1999-00),(2011-12),835.0,692,28592,4888.0,11951.0,1332,4159,2339.0,3292,762,2421,3183,6025,1530,360,2308,2361,13447.0,,---,---,34.24191616766467,5.853892215568862,14.3125748502994,1.5952095808383233,4.980838323353294,2.8011976047904192,3.94251497005988,0.9125748502994012,2.8994011976047904,3.8119760479041918,7.2155688622754495,1.8323353293413174,0.4311377245508982,2.7640718562874254,2.8275449101796406,16.104191616766467
1232,NBA,Ben,Davis,F,Regular Season,(1996-97),(1999-00),40.0,0,154,21.0,59.0,0,0,12.0,26,30,23,53,5,6,2,7,25,54.0,,---,---,3.85,0.525,1.475,0,0,0.3,0.65,0.75,0.575,1.325,0.125,0.15,0.05,0.175,0.625,1.35
1233,NBA,Bill,Davis,F,Regular Season,(1946-47),(1946-47),47.0,---,---,35.0,146.0,---,---,14.0,41,---,---,---,11,---,---,---,92,84.0,,---,---,---,0.7446808510638298,3.106382978723404,---,---,0.2978723404255319,0.8723404255319149,---,---,---,0.23404255319148937,---,---,---,1.9574468085106382,1.7872340425531914
1234,NBA,Bob,Davis,F,Regular Season,(1972-73),(1972-73),9.0,,41,6.0,28.0,---,---,4.0,6,---,---,5,2,---,---,---,5,16.0,,---,---,4.555555555555555,0.6666666666666666,3.111111111111111,---,---,0.4444444444444444,0.6666666666666666,---,---,0.5555555555555556,0.2222222222222222,---,---,---,0.5555555555555556,1.7777777777777777
1235,NBA,Brad,Davis,G,Regular Season,(1977-78),(1991-92),961.0,396,22302,2970.0,5820.0,270,841,1656.0,2001,301,1437,1738,4709,756,146,1377,2139,7866.0,,---,---,23.207075962539022,3.0905306971904265,6.056191467221644,0.2809573361082206,0.8751300728407908,1.7232049947970864,2.0822060353798126,0.31321540062434966,1.4953173777315296,1.8085327783558793,4.900104058272633,0.7866805411030177,0.15192507804370448,1.4328824141519252,2.225806451612903,8.18522372528616
1236,NBA,Brian,Davis,F-G,Regular Season,(1993-94),(1993-94),68.0,3,374,40.0,126.0,1,3,50.0,68,21,34,55,22,16,4,19,34,131.0,,---,---,5.5,0.5882352941176471,1.8529411764705883,0.014705882352941176,0.04411764705882353,0.7352941176470589,1,0.3088235294117647,0.5,0.8088235294117647,0.3235294117647059,0.23529411764705882,0.058823529411764705,0.27941176470588236,0.5,1.9264705882352942
1237,NBA,Charles,Davis,F,Regular Season,(1981-82),(1989-90),415.0,32,5050,970.0,2152.0,19,112,255.0,346,378,630,1008,309,127,74,334,634,2214.0,,---,---,12.168674698795181,2.3373493975903616,5.185542168674699,0.04578313253012048,0.26987951807228916,0.6144578313253012,0.8337349397590361,0.9108433734939759,1.5180722891566265,2.4289156626506023,0.744578313253012,0.3060240963855422,0.1783132530120482,0.8048192771084337,1.527710843373494,5.3349397590361445
1238,NBA,Charlie,Davis,G,Regular Season,(1971-72),(1973-74),144.0,,2653,506.0,1240.0,---,---,275.0,341,2,9,219,319,2,0,---,344,1287.0,,---,---,18.42361111111111,3.513888888888889,8.61111111111111,---,---,1.9097222222222223,2.3680555555555554,0.013888888888888888,0.0625,1.5208333333333333,2.2152777777777777,0.013888888888888888,0,---,2.388888888888889,8.9375
