,League,FirstName,LastName,Pos.,Type,From,To,G,GS,MIN,FGM,FGA,3FGM,3FGA,FTM,FTA,OFF,DEF,REB,AST,STL,BLK,TO,PF,PTS,Unnamed: 28,G.1,GS.1,MIN.1,FGM.1,FGA.1,3FGM.1,3FGA.1,FTM.1,FTA.1,OFF.1,DEF.1,REB.1,AST.1,STL.1,BLK.1,TO.1,PF.1,PTS.1
15,NBA,Don,Ackerman,G,Regular Season,(1953-54),(1953-54),28.0,---,220,14.0,63.0,---,---,15.0,28,---,---,15,23,---,---,---,43,43.0,,---,---,7.857142857142857,0.5,2.25,---,---,0.5357142857142857,1,---,---,0.5357142857142857,0.8214285714285714,---,---,---,1.5357142857142858,1.5357142857142858
16,NBA,Mark,Acres,F-C,Regular Season,(1987-88),(1992-93),375.0,68,5982,514.0,1016.0,7,13,308.0,463,581,944,1525,180,137,104,235,932,1343.0,,---,---,15.952,1.3706666666666667,2.7093333333333334,0.018666666666666668,0.034666666666666665,0.8213333333333334,1.2346666666666666,1.5493333333333332,2.517333333333333,4.066666666666666,0.48,0.36533333333333334,0.2773333333333333,0.6266666666666667,2.485333333333333,3.5813333333333333
17,NBA,Bud,Acton,F,Regular Season,(1967-68),(1967-68),23.0,---,195,29.0,74.0,---,---,19.0,29,---,---,47,11,---,---,---,35,77.0,,---,---,8.478260869565217,1.2608695652173914,3.217391304347826,---,---,0.8260869565217391,1.2608695652173914,---,---,2.0434782608695654,0.4782608695652174,---,---,---,1.5217391304347827,3.347826086956522
18,NBA,Quincy,Acy,F,Regular Season,(2012-13),(2018-19),337.0,60,5392,583.0,1314.0,183,523,293.0,386,309,869,1178,217,140,135,219,665,1642.0,,---,---,16,1.7299703264094954,3.8991097922848663,0.543026706231454,1.5519287833827893,0.8694362017804155,1.1454005934718101,0.9169139465875371,2.578635014836795,3.4955489614243325,0.6439169139465876,0.41543026706231456,0.40059347181008903,0.6498516320474778,1.9732937685459941,4.87240356083086
19,NBA,Alvan,Adams,C-F,Regular Season,(1975-76),(1987-88),988.0,342,27203,5709.0,11464.0,2,15,2490.0,3160,2015,4922,6937,4012,1289,808,2194,3214,13910.0,,---,---,27.5334008097166,5.77834008097166,11.603238866396762,0.0020242914979757085,0.015182186234817813,2.520242914979757,3.1983805668016196,2.039473684210526,4.981781376518219,7.021255060728745,4.060728744939271,1.3046558704453441,0.8178137651821862,2.220647773279352,3.2530364372469633,14.078947368421053
20,NBA,Don,Adams,F,Regular Season,(1970-71),(1976-77),487.0,,12407,1682.0,4186.0,---,---,872.0,1180,364,844,2732,869,283,55,---,1591,4236.0,,---,---,25.476386036960985,3.453798767967146,8.595482546201232,---,---,1.7905544147843941,2.42299794661191,0.7474332648870636,1.73305954825462,5.6098562628336754,1.784394250513347,0.5811088295687885,0.11293634496919917,---,3.2669404517453797,8.698151950718685
21,ABA,Don,Adams,F,Regular Season,(1974-75),(1975-76),36.0,---,1067,141.0,349.0,0,3,80.0,105,65,119,184,142,51,9,79,118,362.0,,---,---,29.63888888888889,3.9166666666666665,9.694444444444445,0,0.08333333333333333,2.2222222222222223,2.9166666666666665,1.8055555555555556,3.3055555555555554,5.111111111111111,3.9444444444444446,1.4166666666666667,0.25,2.1944444444444446,3.2777777777777777,10.055555555555555
22,ABA,George,Adams,F-G,Regular Season,(1972-73),(1974-75),215.0,---,3903,716.0,1440.0,4,17,216.0,272,313,560,873,317,88,59,292,372,1652.0,,---,---,18.153488372093022,3.3302325581395347,6.6976744186046515,0.018604651162790697,0.07906976744186046,1.0046511627906978,1.2651162790697674,1.455813953488372,2.604651162790698,4.06046511627907,1.4744186046511627,0.40930232558139534,0.2744186046511628,1.3581395348837209,1.7302325581395348,7.683720930232558
23,NBL,Glenn,Adams,F,Regular Season,(1938-39),(1939-40),27.0,---,---,46.0,,---,---,35.0,,---,---,---,---,---,---,---,,127.0,,---,---,---,1.7037037037037037,0.0,---,---,1.2962962962962963,,---,---,---,---,---,---,---,0,4.703703703703703
24,NBA,Hassan,Adams,G,Regular Season,(2006-07),(2008-09),73.0,8,547,79.0,148.0,0,1,27.0,42,36,48,84,14,18,5,26,51,185.0,,---,---,7.493150684931507,1.082191780821918,2.0273972602739727,0,0.0136986301369863,0.3698630136986301,0.5753424657534246,0.4931506849315068,0.6575342465753424,1.1506849315068493,0.1917808219178082,0.2465753424657534,0.0684931506849315,0.3561643835616438,0.6986301369863014,2.5342465753424657
25,NBL,Howard,Adams,F-C,Regular Season,(1942-43),(1942-43),13.0,---,---,4.0,,---,---,1.0,,---,---,---,---,---,---,---,,9.0,,---,---,---,0.3076923076923077,0.0,---,---,0.07692307692307693,,---,---,---,---,---,---,---,0,0.6923076923076923
26,ABL,Jack,Adams,F,Regular Season,(1961-62),(1961-62),82.0,,2316,321.0,747.0,12,34,469.0,562,---,---,456,160,---,---,---,260,1123.0,,---,---,28.24390243902439,3.9146341463414633,9.109756097560975,0.14634146341463414,0.4146341463414634,5.719512195121951,6.853658536585366,---,---,5.560975609756097,1.951219512195122,---,---,---,3.1707317073170733,13.695121951219512
27,NBA,Jaylen,Adams,G,Regular Season,(2018-19),(2020-21),41.0,1,446,39.0,118.0,25,76,7.0,9,11,52,63,67,14,5,28,46,110.0,,---,---,10.878048780487806,0.9512195121951219,2.8780487804878048,0.6097560975609756,1.853658536585366,0.17073170731707318,0.21951219512195122,0.2682926829268293,1.2682926829268293,1.5365853658536586,1.6341463414634145,0.34146341463414637,0.12195121951219512,0.6829268292682927,1.1219512195121952,2.682926829268293
28,NBA,Jordan,Adams,G,Regular Season,(2014-15),(2015-16),32.0,0,263,37.0,92.0,10,26,17.0,28,9,21,30,19,19,7,16,26,101.0,,---,---,8.21875,1.15625,2.875,0.3125,0.8125,0.53125,0.875,0.28125,0.65625,0.9375,0.59375,0.59375,0.21875,0.5,0.8125,3.15625
29,NBA,Michael,Adams,G,Regular Season,(1985-86),(1995-96),653.0,510,20446,3257.0,7849.0,949,2857,2158.0,2543,416,1484,1900,4209,1081,67,1402,1193,9621.0,,---,---,31.310872894333844,4.987748851454824,12.019908116385912,1.4532924961715161,4.375191424196019,3.3047473200612556,3.894333843797856,0.6370597243491577,2.2725880551301683,2.909647779479326,6.445635528330781,1.6554364471669218,0.10260336906584992,2.147013782542113,1.8269525267993874,14.73353751914242
30,NBL,Raymond,Adams,F-C,Regular Season,(1937-38),(1940-41),57.0,---,---,92.0,,---,---,51.0,,---,---,---,---,---,---,---,,235.0,,---,---,---,1.6140350877192982,0.0,---,---,0.8947368421052632,,---,---,---,---,---,---,---,0,4.12280701754386
31,NBA,Steven,Adams,C,Regular Season,(2013-14),(2022-23),706.0,641,18944,2713.0,4620.0,1,16,1091.0,2037,2600,3188,5788,1079,622,675,1029,1748,6518.0,,---,---,26.8328611898017,3.8427762039660056,6.543909348441926,0.00141643059490085,0.0226628895184136,1.545325779036827,2.8852691218130313,3.68271954674221,4.515580736543909,8.19830028328612,1.528328611898017,0.8810198300283286,0.9560906515580736,1.4575070821529745,2.4759206798866855,9.23229461756374
32,NBL,Willie,Adams,F,Regular Season,(1937-38),(1937-38),16.0,---,---,21.0,,---,---,16.0,,---,---,---,---,---,---,---,,58.0,,---,---,---,1.3125,0.0,---,---,1.0,,---,---,---,---,---,---,---,0,3.625
33,NBA,Rafael,Addison,F-G,Regular Season,(1986-87),(1996-97),379.0,54,5697,920.0,2047.0,69,245,277.0,359,262,518,780,339,148,83,284,671,2186.0,,---,---,15.031662269129287,2.4274406332453826,5.401055408970977,0.1820580474934037,0.6464379947229552,0.7308707124010554,0.9472295514511874,0.6912928759894459,1.366754617414248,2.058047493403694,0.8944591029023746,0.39050131926121373,0.21899736147757257,0.7493403693931399,1.770448548812665,5.7678100263852246
34,NBA,Bam,Adebayo,C,Regular Season,(2017-18),(2022-23),418.0,314,12264,2358.0,4259.0,8,62,1422.0,1883,922,2616,3538,1429,428,370,895,1047,6146.0,,---,---,29.339712918660286,5.641148325358851,10.188995215311005,0.019138755980861243,0.14832535885167464,3.401913875598086,4.5047846889952154,2.2057416267942584,6.258373205741627,8.464114832535886,3.4186602870813396,1.0239234449760766,0.8851674641148325,2.1411483253588517,2.5047846889952154,14.703349282296651
35,NBA,Deng,Adel,F,Regular Season,(2018-19),(2018-19),19.0,3,194,11.0,36.0,6,23,4.0,4,3,16,19,5,1,4,6,13,32.0,,---,---,10.210526315789474,0.5789473684210527,1.894736842105263,0.3157894736842105,1.2105263157894737,0.21052631578947367,0.21052631578947367,0.15789473684210525,0.8421052631578947,1,0.2631578947368421,0.05263157894736842,0.21052631578947367,0.3157894736842105,0.6842105263157895,1.6842105263157894
36,NBA,Rick,Adelman,G,Regular Season,(1968-69),(1974-75),462.0,,10427,1381.0,3330.0,---,---,817.0,1146,41,123,1129,1606,106,9,---,990,3579.0,,---,---,22.56926406926407,2.9891774891774894,7.207792207792208,---,---,1.7683982683982684,2.4805194805194803,0.08874458874458875,0.2662337662337662,2.4437229437229435,3.4761904761904763,0.22943722943722944,0.01948051948051948,---,2.142857142857143,7.746753246753247
37,NBA,Jeff,Adrien,F,Regular Season,(2010-11),(2014-15),153.0,17,2148,264.0,557.0,0,2,181.0,288,221,438,659,100,50,79,91,259,709.0,,---,---,14.03921568627451,1.7254901960784315,3.6405228758169934,0,0.013071895424836602,1.1830065359477124,1.8823529411764706,1.4444444444444444,2.8627450980392157,4.30718954248366,0.6535947712418301,0.32679738562091504,0.5163398692810458,0.5947712418300654,1.6928104575163399,4.633986928104576
38,NBA,Arron,Afflalo,G,Regular Season,(2007-08),(2017-18),762.0,537,20829,2983.0,6633.0,852,2205,1380.0,1673,334,1842,2176,1386,341,142,852,1481,8198.0,,---,---,27.334645669291337,3.9146981627296586,8.704724409448819,1.1181102362204725,2.893700787401575,1.811023622047244,2.195538057742782,0.43832020997375326,2.4173228346456694,2.8556430446194225,1.8188976377952757,0.44750656167979,0.18635170603674542,1.1181102362204725,1.9435695538057742,10.758530183727034
39,NBA,Ochai,Agbaji,G,Regular Season,(2022-23),(2022-23),59.0,22,1209,165.0,386.0,81,228,56.0,69,43,78,121,67,16,15,41,99,467.0,,,,,,,,,,,,,,,,,,,
40,NBA,Maurice,Ager,G,Regular Season,(2006-07),(2010-11),82.0,4,505,64.0,189.0,11,44,30.0,53,8,38,46,19,6,6,29,65,169.0,,---,---,6.158536585365853,0.7804878048780488,2.3048780487804876,0.13414634146341464,0.5365853658536586,0.36585365853658536,0.6463414634146342,0.0975609756097561,0.4634146341463415,0.5609756097560976,0.23170731707317074,0.07317073170731707,0.07317073170731707,0.35365853658536583,0.7926829268292683,2.0609756097560976
41,NBA,Mark,Aguirre,F-G,Regular Season,(1981-82),(1993-94),923.0,639,27730,7201.0,14865.0,392,1258,3664.0,4944,1704,2874,4578,2871,687,296,2306,2599,18458.0,,---,---,30.043336944745395,7.801733477789816,16.105092091007585,0.4247020585048754,1.362946912242687,3.969664138678223,5.356446370530877,1.8461538461538463,3.1137594799566632,4.9599133261105095,3.1105092091007585,0.7443120260021668,0.3206933911159263,2.498374864572048,2.8158179848320692,19.99783315276273
42,NBA,Blake,Ahearn,G,Regular Season,(2007-08),(2011-12),19.0,0,226,21.0,77.0,14,47,32.0,33,1,21,22,22,7,0,22,27,88.0,,---,---,11.894736842105264,1.105263157894737,4.052631578947368,0.7368421052631579,2.473684210526316,1.6842105263157894,1.736842105263158,0.05263157894736842,1.105263157894737,1.1578947368421053,1.1578947368421053,0.3684210526315789,0,1.1578947368421053,1.4210526315789473,4.631578947368421
43,NBL,John,Ahearn,G,Regular Season,(1940-41),(1940-41),15.0,---,---,32.0,,---,---,15.0,,---,---,---,---,---,---,---,,79.0,,---,---,---,2.1333333333333333,0.0,---,---,1.0,,---,---,---,---,---,---,---,0,5.266666666666667
44,NBA,Danny,Ainge,G,Regular Season,(1981-82),(1994-95),1042.0,508,27755,4643.0,9905.0,1002,2651,1676.0,1980,695,2073,2768,4199,1133,132,1566,2549,11964.0,,---,---,26.636276391554702,4.455854126679463,9.505758157389636,0.9616122840690979,2.5441458733205375,1.6084452975047985,1.9001919385796544,0.6669865642994242,1.989443378119002,2.656429942418426,4.029750479846449,1.0873320537428024,0.12667946257197696,1.5028790786948176,2.446257197696737,11.48176583493282
45,ABA,Matthew,Aitch,F,Regular Season,(1967-68),(1967-68),45.0,---,637,100.0,247.0,0,2,52.0,77,,,160,18,---,---,37,69,252.0,,---,---,14.155555555555555,2.2222222222222223,5.488888888888889,0,0.044444444444444446,1.1555555555555554,1.711111111111111,0,0,3.5555555555555554,0.4,---,---,0.8222222222222222,1.5333333333333334,5.6
46,NBL,Warren,Ajax,F-C,Regular Season,(1947-48),(1947-48),3.0,---,---,0.0,,---,---,1.0,,---,---,---,---,---,---,---,,1.0,,---,---,---,0.0,0.0,---,---,0.3333333333333333,,---,---,---,---,---,---,---,0,0.3333333333333333
47,NBA,Alexis,Ajinca,C,Regular Season,(2008-09),(2016-17),293.0,76,3905,645.0,1283.0,12,42,251.0,315,346,804,1150,143,102,181,249,661,1553.0,,---,---,13.327645051194539,2.2013651877133107,4.378839590443686,0.040955631399317405,0.14334470989761092,0.856655290102389,1.075085324232082,1.180887372013652,2.744027303754266,3.9249146757679183,0.4880546075085324,0.34812286689419797,0.6177474402730375,0.8498293515358362,2.255972696245734,5.300341296928328
48,NBA,Henry,Akin,C-F,Regular Season,(1966-67),(1967-68),86.0,---,712,129.0,367.0,---,---,46.0,68,---,---,177,39,---,---,---,130,304.0,,---,---,8.279069767441861,1.5,4.267441860465116,---,---,0.5348837209302325,0.7906976744186046,---,---,2.058139534883721,0.45348837209302323,---,---,---,1.5116279069767442,3.5348837209302326
